Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Self-reported Expertise,Automation Desire Rating,Time,Core Skill Rating,Job Security Rating,Enjoyment Rating,Reasons for Automation Desire - Free Time,Reasons for Automation Desire - Repetitive,Reasons for Automation Desire - Human Error,Reasons for Automation Desire - Stress,Reasons for Automation Desire - Difficulty,Reasons for Automation Desire - Scale,Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Reasons for Human Agency - Physical,Reasons for Human Agency - Control,Reasons for Human Agency - Domain Knowledge,Reasons for Human Agency - Empathy,Reasons for Human Agency - Quality Oversight,Reasons for Human Agency - Dynamic,Reasons for Human Agency - Ethical,Other Reason for Automation Desire,Other Reason for Human Agency
2581,Customer Service Representatives,Contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments.,533a6bf0-9958-4892-8777-44108350b9be,2025/1/21,Expert,4,1,3,2,1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,3,2,3,2,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,
2583,Customer Service Representatives,"Determine charges for services requested, collect deposits or payments, or arrange for billing.",533a6bf0-9958-4892-8777-44108350b9be,2025/1/21,Average,4,1,1,4,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3,1,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
2584,Customer Service Representatives,"Complete contract forms, prepare change of address records, or issue service discontinuance orders, using computers.",533a6bf0-9958-4892-8777-44108350b9be,2025/1/21,Average,4,2,3,2,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,3,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
2582,Customer Service Representatives,Refer unresolved customer grievances to designated departments for further investigation.,533a6bf0-9958-4892-8777-44108350b9be,2025/1/21,Expert,5,1,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
2579,Customer Service Representatives,"Resolve customers' service or billing complaints by performing activities such as exchanging merchandise, refunding money, or adjusting bills.",533a6bf0-9958-4892-8777-44108350b9be,2025/1/21,Expert,2,1,1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1411,Mechanical Engineers,"Read and interpret blueprints, technical drawings, schematics, or computer-generated reports.",9f48da63-2e55-413d-a8b4-ec18e410eb36,2025/1/21,Novice,5,1,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,2,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
20736,Mechanical Engineers,"Specify system components or direct modification of products to ensure conformance with engineering design, performance specifications, or environmental regulations.",9f48da63-2e55-413d-a8b4-ec18e410eb36,2025/1/21,Novice,3,2,3,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,2,4,4,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
20737,Mechanical Engineers,"Assist drafters in developing the structural design of products, using drafting tools or computer-assisted drafting equipment or software.",9f48da63-2e55-413d-a8b4-ec18e410eb36,2025/1/21,Novice,3,2,3,3,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,1,2,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
1777,Editors,"Read copy or proof to detect and correct errors in spelling, punctuation, and syntax.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Expert,4,3,4,2,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
1780,Editors,"Verify facts, dates, and statistics, using standard reference sources.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Expert,4,2,5,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,3,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
1786,Editors,"Read, evaluate and edit manuscripts or other materials submitted for publication, and confer with authors regarding changes in content, style or organization, or publication.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Average,1,3,5,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,3,5,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
1782,Editors,"Develop story or content ideas, considering reader or audience appeal.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Expert,1,4,5,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5,5,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,this task requires lived human experiences
1776,Editors,"Prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Expert,3,2,4,4,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,5,2,5,4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,
1783,Editors,"Oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Average,5,4,3,3,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2,3,1,4,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,
21000,Editors,"Write text, such as stories, articles, editorials, or newsletters.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Expert,1,4,5,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3,5,3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
1779,Editors,"Plan the contents of publications according to the publication's style, editorial policy, and publishing requirements.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Expert,1,5,5,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,5,5,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
1781,Editors,Review and approve proofs submitted by composing room prior to publication production.,32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Average,3,3,4,1,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
1785,Editors,"Assign topics, events and stories to individual writers or reporters for coverage.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Expert,1,2,4,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,4,5,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No human wants AI to assign it work
19004,Computer Network Support Specialists,Back up network data.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,2,1,1,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18991,Computer Network Support Specialists,Configure security settings or access permissions for groups or individuals.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,3,2,3,3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,3,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
18993,Computer Network Support Specialists,Document network support activities.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,4,3,2,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,1,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
19002,Computer Network Support Specialists,Troubleshoot network or connectivity problems for users or user groups.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,1,3,3,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5,5,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
19011,Computer Network Support Specialists,Research hardware or software products to meet technical networking or security needs.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,3,2,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
19012,Computer Network Support Specialists,Run monthly network reports.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,4,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
21049,Computer Programmers,Develop Web sites.,788a168b-6694-46f6-8493-e757b2f715b3,2025/3/23,Average,4,1,3,4,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,3,3,3,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
1376,Environmental Engineers,Inform company employees or other interested parties of environmental issues.,de9faa82-c8c8-477d-8baf-ef041992ff87,2025/1/21,Expert,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
951,Marketing Managers,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",c0f8c0cb-3416-4a61-942b-a607705cedc1,2025/1/21,Average,5,2,2,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,4,1,4,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
21520,Accountants and Auditors,Report to management regarding the finances of establishment.,9aef09c6-ccfd-4dc0-a578-1ae21f7450a1,2025/1/21,Expert,4,1,3,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,4,3,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
16157,Information Technology Project Managers,Monitor or track project milestones and deliverables.,231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,4,2,4,1,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,3,2,3,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,
16159,Information Technology Project Managers,"Initiate, review, or approve modifications to project plans.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,2,1,3,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,3,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16151,Information Technology Project Managers,Perform risk assessments to develop response strategies.,231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,2,2,5,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,3,4,4,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
11241,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Maintain customer records, using automated systems.",1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025/1/21,Expert,5,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,1,4,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
11252,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Complete expense reports, sales reports, or other paperwork.",1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025/1/21,Average,5,2,2,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,2,1,5,5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
11245,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Collaborate with colleagues to exchange information, such as selling strategies or marketing information.",1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025/1/21,Expert,5,4,5,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,3,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
20620,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Verify customer credit ratings.,1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025/1/21,Expert,5,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
14673,Computer Systems Engineers/Architects,"Identify system data, hardware, or software components required to meet user needs.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Expert,2,4,4,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,4,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14687,Computer Systems Engineers/Architects,"Communicate project information through presentations, technical reports, or white papers.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Expert,3,2,4,1,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,5,2,4,3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
18859,Human Resources Specialists,Hire employees and process hiring-related paperwork.,db5513b8-b965-4d60-9d5b-48e5c18820b8,2025/2/25,Expert,1,1,2,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,5,4,4,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
20284,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Compose, type, and distribute meeting notes, routine correspondence, or reports, such as presentations or expense, statistical, or monthly reports.",16f45488-9af7-4bfa-8bb8-524f52e03435,2025/2/25,Average,3,2,3,4,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,3,4,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
2805,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Conduct searches to find needed information, using such sources as the Internet.",16f45488-9af7-4bfa-8bb8-524f52e03435,2025/2/25,Average,3,2,3,4,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
2794,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Open, read, route, and distribute incoming mail or other materials and answer routine letters.",16f45488-9af7-4bfa-8bb8-524f52e03435,2025/2/25,Expert,5,1,5,4,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
15583,Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",dc151eda-cd36-4aa0-be0d-4e9de0ab3cb9,2025/2/25,Average,1,1,4,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,1,3,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
1285,Computer User Support Specialists,Oversee the daily performance of computer systems.,86c9b5e5-96af-49e1-9b63-5f15b2ee193c,2025/2/25,Average,3,2,1,1,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,3,4,3,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,
1283,Computer User Support Specialists,Enter commands and observe system functioning to verify correct operations and detect errors.,86c9b5e5-96af-49e1-9b63-5f15b2ee193c,2025/2/25,Expert,1,4,4,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,4,4,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
18940,Credit Counselors,"Maintain or update records of client account activity, including financial transactions, counseling session notes, correspondence, document images, or client inquiries.",0b466480-1875-4e35-971f-7ad7ecdae8eb,2025/2/25,Expert,2,1,2,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,4,4,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
15612,Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",494624da-6ebf-43d4-a843-9114931430ed,2025/2/25,Expert,5,1,1,5,3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1,4,1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,it would allow me to focus on actual patient care. I would love to have epic that has developed the MY chart computer charting system incorpate a AI to do dicatation to the chart so that instead of typing I could talk to it to chart while actually actively doing the care on the patient and have more time for the much needed patients because in the hospitals most are under staffed and nurse are caring for more patients than they should so often when I was in the hospital setting I would get stuck after my shift at work charting for hours ,FALSE
15594,Clinical Research Coordinators,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,494624da-6ebf-43d4-a843-9114931430ed,2025/2/25,Expert,3,1,5,1,2,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,4,4,5,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,legal concerns if not documented correctly and some situations are extremely random and not normal things so hard to intially put a dual legal ai and medical AI together to just do this alone but they would be of excellent value and reference to the nurses and doctors that have to make these reports
15607,Clinical Research Coordinators,Communicate with laboratories or investigators regarding laboratory findings.,494624da-6ebf-43d4-a843-9114931430ed,2025/2/25,Average,3,1,5,1,2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,2,5,3,5,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,
15583,Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",494624da-6ebf-43d4-a843-9114931430ed,2025/2/25,Average,4,1,5,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,3,4,2,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,the education is for the nurse and if the AI does the work and learning the nurse doesn't learn and so it would be a team effort
1780,Editors,"Verify facts, dates, and statistics, using standard reference sources.",d4744b6c-d5dd-4cee-9f97-c068e513cde5,2025/2/25,Expert,1,3,5,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,2,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
1783,Editors,"Oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements.",d4744b6c-d5dd-4cee-9f97-c068e513cde5,2025/2/25,Expert,1,4,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,5,4,5,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
1781,Editors,Review and approve proofs submitted by composing room prior to publication production.,d4744b6c-d5dd-4cee-9f97-c068e513cde5,2025/2/25,Expert,2,2,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,3,5,5,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
23313,Insurance Claims and Policy Processing Clerks,"Prepare insurance claim forms or related documents, and review them for completeness.",a298e4c0-1fb5-470c-afe0-c0f34ea9798e,2025/2/25,Average,3,4,3,1,4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,4,2,3,3,4,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,
23334,Insurance Claims and Policy Processing Clerks,"Compose business correspondence for supervisors, managers, and professionals.",a298e4c0-1fb5-470c-afe0-c0f34ea9798e,2025/2/25,Average,4,4,2,3,2,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,4,2,3,2,4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
1777,Editors,"Read copy or proof to detect and correct errors in spelling, punctuation, and syntax.",ccd96e0f-ab6a-4bd9-bb4c-60d1c1b0d4d4,2025/2/25,Average,1,4,5,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,4,4,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
1786,Editors,"Read, evaluate and edit manuscripts or other materials submitted for publication, and confer with authors regarding changes in content, style or organization, or publication.",ccd96e0f-ab6a-4bd9-bb4c-60d1c1b0d4d4,2025/2/25,Average,1,4,5,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,5,5,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
1776,Editors,"Prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",ccd96e0f-ab6a-4bd9-bb4c-60d1c1b0d4d4,2025/2/25,Average,1,4,5,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5,5,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
16152,Information Technology Project Managers,"Submit project deliverables, ensuring adherence to quality standards.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,4,1,3,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,3,2,4,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,
16170,Information Technology Project Managers,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Novice,1,1,3,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,4,4,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
16168,Information Technology Project Managers,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,2,2,4,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,2,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
20608,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Prepare and submit sales contracts for orders.,1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025/1/21,Expert,5,1,1,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
11237,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Answer customers' questions about products, prices, availability, or credit terms.",1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025/1/21,Expert,1,1,2,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,1,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11249,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Inform customers of estimated delivery schedules, service contracts, warranties, or other information pertaining to purchased products.",1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025/1/21,Expert,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,3,3,5,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
