User ID,Occupation (O*NET-SOC Title),Gender,Race,Income,Age,Education,Experience,AI Tedious Work Attitude,AI Job Importance Attitude,AI Daily Interest Attitude,AI Suffering Attitude,Zip Code,Political Affiliation,LLM Familiarity,LLM Use in Work,LLM Usage by Type - Information Access,LLM Usage by Type - Edit,LLM Usage by Type - Idea Generation,LLM Usage by Type - Communication,LLM Usage by Type - Analysis,LLM Usage by Type - Decision,LLM Usage by Type - Coding,LLM Usage by Type - System Design,LLM Usage by Type - Data Processing,Work Description,Work Tasks,Work Tools,Work Processes,AI Envision,Recruitment Source
231576cd-4cc2-4dee-91cb-6bb0105d06db,Information Technology Project Managers,Male,White,60-86K,25,Bachelor’s Degree,3-5 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,02155,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Weekly,Never,Weekly,Never,Never,Monthly,Never,Weekly,"Provide emergency management to health centers across my state. In addition I assist our legal team with project management, event coordination as well as content development. ","A majority of my time is spent on our emergency management program whether that be providing technical assistance, preparedness activities or responding to events. In addition, when new tasks are brought to me around using our company wide data dashboard I’m there to assist. ","We use asana, zoom, Microsoft 365 enterprise platforms, share point, as well as a variety of content development sites ranging from canva to constant contact. ","Technical assistance can involve many things in the healthcare emergency management field whether it be assisting in hazard identification, writing and editing emergency plans or exercise development. My workflow usually involves the use of checkboxes to ensure I hit each requirement depending on what activity I’m doing. ",,Prolific
1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Male,White,86K-165K,60,Bachelor’s Degree,6-10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Monthly,Never,Weekly,Never,Never,Never,Never,Daily,"I'm a sales administrator at a plant for a large construction product manufacturing and fabrication company specializing in metals, I oversee the region's sales support team and report directly to the regional sales manager.","I ensure that sales specialists at each plant across the region are equipped, trained, and efficient. I address their issues, represent them, oversee their work, and make the case to upper management regarding how our team behaves and report our data for comparisons between regions. ","SAP, primarily. E-mail. A suite of custom tools developed in-house. Microsoft Teams. We do plenty of remote meetings, and have daily calls.","The regional sales manager often assigns tasks pertaining to problems to plant superintendents since their roles determine sale efficacy. My job is to support their role in sales with data.
The report I send to my manager is data-backed and standardized.
I am often assigned additional tasks based on my region's performance.
Along with meeting those tasks, I often communicate to my team the methods I believe will best achieve those goals, and correct, change or assign duties based on that.",,Prolific
1ea438f6-b348-41ef-a3b7-0d3ea26da742,Computer Systems Engineers/Architects,Male,White,209K-529K,52,"Some College, No Degree",More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,Independent,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,I design information technology solutions for enterprise customers. This involves gathering requirements and budget constraints and then designing a solution using hardware and software.,"Architecture, planning, financial analysis, answering e-mails, meeting with customers, gathering requirements","Microsoft office suite, Google chrome, Microsoft teams, OpenAI ChatGPT, Amazon web services, google cloud, Microsoft Azure.","I open Microsoft Outlook, view all my unread emails, and then work my way through the emails, answering or filing them for response later.",,Prolific
52cdb85b-5307-450a-ac44-b51194f76036,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Male,White,Prefer not to say,54,Bachelor’s Degree,More than 10 years,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,96789,Independent,I use them regularly.,"Yes, I have used them occasionally for specific tasks.",Never,Never,Never,Never,Never,Never,Never,Never,Never,Work selling hot tobes and delivering hot tubs for Sundance Spas.,"Yeah, like I said, we deliver hot tubs also, and we also clean them out, you know, I clean up the warehouse, I clean up the sales room, mop, sweep, sell hot tubs, answer customers calls, return customers calls, get on the computer, check the stock, all that good stuff.","Well, tools would be, of course, using computers and using, we don't really use a whole lot of tools. We just, we use paperwork mostly and printing, of course, the printer for printing out sales and stuff. That's about it. That's all I can think about.","Of course, the task of calling customer service back, calling customers back and answering customers calls are very simple and easy. And logging down information on stock on the computer of how many hot tubs we have in the warehouse available, that's real easy. And the third task would be just cleaning up the warehouse and cleaning up the sales room.",,Prolific
ac02d2a0-14ec-4a40-8990-87dcb3c84091,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Female,White,60-86K,46,Bachelor’s Degree,More than 10 years,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,23919,Democrat,I use them regularly.,"Yes, I use them every week in my work.",Daily,Weekly,Weekly,Daily,Daily,Daily,Never,Never,Daily,"I’m a sales representative for a company that sells golf carts, utvs, atvs, and other small recreational vehicles.",Assist customers with their purchase of vehicles. Moderate our website’s online chat. Record order data into spreadsheets.,"Desktop computer, cell phone, and tablet. Software includes salesforce, Shopify, Google, and zoom. I also use facebook to communicate with our team.","I assist customers over the phone and via online chat/email. Once a vehicle has been selected, I prepare an out the door quote that is emailed to the customer. ",,Prolific
be90a8f7-f347-4ffe-acda-78c0206d206f,Marketing Managers,Female,Black,30-60K,35,Bachelor’s Degree,3-5 years,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,,Republican,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Monthly,Monthly,Daily,Daily,Weekly,Monthly,Monthly,Weekly,"Brief meeting with my mangers and colleagues on how to reach a set goal for the day and week,  follow up calls and text messages to the potential clients, Physical meeting with some potential client.
Write a comprehensive reports.
Work on pending reports and sort out clients complains. ","Do a follow-up on potential clients.
Bring in new clients
Ensure they are satisfy with our produces and services.
Work on their complaints.
Supervise 

","I use micro softword for typing of my daily and weekly reports.
 Chatgpt google gimini, grok helps me rephrase the words, gives fresh idea, professional guidelines
Adobe express : graphic design
","AI tools helps me prepare my meeting reports professionally, Speaking with both current and intending clients Al tools helps use the write woods.
Writing my weekly and daily reports Al tools helps suggests new and more professional words.
Al tools helps stand out and make my potential client believe am capable.
 ",,Prolific
e2d91683-e436-429f-aaa2-ba6c47d0b288,Computer and Information Systems Managers,Male,Black,30-60K,30,Bachelor’s Degree,6-10 years,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Weekly,"Information security for a Healthcare facility. I 
have complete control over everything and I'm also the lead decision making in many cases 
","My work mostly  consists of keeping crucial date safe and secure for potential treats and attacks and unwanted access aswell.













","I use collaboration tools for a variety of different sources google and Microsoft being a few.





",I usually use my laptop  to check my calendar and start my day. I also use different applications to collaborate with different peers.,,Prolific
70eaa0ba-c4e5-4e81-a162-a7721869eb2b,Administrative Services Managers,Female,White,30-60K,49,Bachelor’s Degree,More than 10 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,93933,Democrat,I have some experience using them.,"Yes, I use them every week in my work.",Never,Monthly,Monthly,Monthly,Never,Never,Never,Never,Never,"I work for two AVP's in two separate offices that lie under the Provost office at a university.  Generally, I answer phones and general emails from students and faculty.  I also run our office's social media accounts.  I plan and coordinate events and travel.  I do accounting for five offices plus manage a grant.  I do a multitude of anything else that is asked of me throughout the day.  Under the AVP for Graduate Studies and Research, I deal with grad student problems, plan events for grad students, do general outreach about our programs, and manage two graduate student assistants.  Under the AVP for Institutional Effectiveness and Academic Planning I deal with accreditation and ways to make the university more streamlined with its processes.","Under the AVP for Graduate Studies and Research, I deal with grad student problems, plan events for grad students, do general outreach about our programs, and manage two graduate student assistants.  Under the AVP for Institutional Effectiveness and Academic Planning I deal with accreditation and ways to make the university more streamlined with its processes.","I use the Google suite for email, phone, and calendaring.  I use Microsoft Office for many tasks.  I also use Google Drive to store projects and to work interactively with others. ","Calendaring takes a long time as I manage many calendars and it is tough to find times with large groups when everyone is available.  Setting up events takes a long time as I need to reach out to many different offices in order to have food, a location, facilities for set up, as well as coordinating with other offices about the activities at the events.  And working on the budget for five offices is a huge task as well as I need to gather invoices from each office at the end of each month and keep a ledger up to date. 
",,Prolific
3f8f3797-b74f-44b7-a9d7-9b15ab5b65a9,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Male,Black,165K-209K,36,Master’s Degree,3-5 years,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,21203,Democrat,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Monthly,Weekly,Weekly,Monthly,Weekly,Monthly,Monthly,"at  work my  primarily responsible for is recruiting, hiring, training, and managing employees, including overseeing employee relations, managing benefits packages, ensuring compliance with labor laws, and addressing employee concerns or grievances within a company; essentially acting as a bridge between the company and its workforce. 
"," at work my primarily responsible for is recruiting, hiring, training, and managing employees, including overseeing employee relations, managing benefits 
","Automate manual tasks,for keeping employee information, Mobile applications.Applicant tracking systems.
Interviewing software. ...
","Software tools for recruiters can help you:

Organize and compile applicant information
Post and promote job openings
Track the application process
",,Prolific
2a4e4c80-8f08-474e-b205-cee1259b7b01,Administrative Services Managers,Female,White,86K-165K,46,High School,Less than 1 year,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,No political affliation,I use them regularly.,"No, I have not used them for any work-related activities.",,,,,,,,,,"I process applications for free and reduced lunches for school students. I return phone calls and answer emails. I approve invoices for the food that my company buys to fund school lunches and breakfasts. I do some filing and open mail and other basic clerical duties. I also help with catering when needed, serving lunches or setting up banquets and cleaning up after them. ","I process applications for free and reduced lunches for school students. I return phone calls and answer emails. I approve invoices for the food that my company buys to fund school lunches and breakfasts. I do some filing and open mail and other basic clerical duties. I also help with catering when needed, serving lunches or setting up banquets and cleaning up after them. ",I use a software program to approve invoices and outlook to answer emails. We also have a software program for the lunch applications and another for the students basic information.,"Processing lunch application consists of verifying all information that is on the application and cross referencing if it meets the guidelines for free or reduced meals.
Approving invoices consists of verifying all info on the invoice is correct and cross referencing it to a paper receipt.
Returning phone calls is exactly like it sounds.",,Prolific
2e027f5b-019e-4215-ae3c-180cf6c576ff,Information Technology Project Managers,Male,Black,86K-165K,26,Master’s Degree,6-10 years,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,90001,Republican,I have heard of them but don't know much about their functionalities.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,"I am a  full time worker in an information communication technology company,  A developer and a researcher, i am saddled with the responsibilities of attending to strategic assignment and task for the company.","Attending to critical issues
attending to strategic issues
attending to official assignment
S0lving diplomatic assignment
","Laptop
keyboard
mouse
files
office files
telephone
mouse
data connection
area
other devices
computer
telephone
","An adequate and quantity research on the incoming mails and information
An adequate and quantity research on the outgoing mails and information
An adequate and quantity research on the tasks given",,Prolific
9be96835-9a5e-4aad-85d8-bcfda048a0f4,Medical and Clinical Laboratory Technicians,Male,Black,86K-165K,25,Master’s Degree,3-5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90012,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Daily,Weekly,Daily,Daily,Weekly,Daily,Weekly,"A doctor's job description includes working with patients, admin work, and keeping educated. A normal day involves starting with patient charts to prepare for patient appointments, seeing patients, conducting tests, and giving treatment plans. Throughout the day, I work closely with the nurses, other doctors, and the health team to assure patients are receiving the best care. I check in with medical histories, prescribe medication, write the orders, and dictate tests. Also, I have to keep learning as various advancements concerning medicine come into the market; thus, trainings or researches may be gated for such advancements. All in all, it can be frenetic, but rather, it can be an enriching experience whereby you are constantly helping other human beings carry on with their lives healthily. ","As a doctor, my everyday responsibilities may include:

Patient consultations: I spend hours treating, diagnosing, discussing symptoms, and suggesting treatment plans for patients.
Medical procedures: These depend on my specialty, so I may also be called upon to perform surgeries or procedures, all of which can be invasive, like suturing, obtaining samples for tests, or some other medical intervention.
Generating patient charts: After consultations and procedures, I take time to document an accurate diagnosis, treatment plan, and subsequent changes in care on patient records.
Collaboration with fellow professionals: I frequently collaborate with other healthcare staff-such as nurses, specialists, and other administrative personnel-to provide all-encompassing care to the patient.
Research and continuing education: I spend time keeping abreast of developments in the medical field through attendance at conferences, readership of medical journals, and the acquisition of new techniques or treatments. ","EHR System (Epic, Cerner): Daily documentation on patients.
Medical References (UpToDate, Medscape): Have broad reach concerning guidelines and treatment options.
Scheduling Software (Athenahealth, NextGen): Have broad accessibility for managing appointments.
Decision Support Tools: Medium range regarding evidence-based recommendations.
Imaging Software (PACS): Medium utilization regarding viewing X-rays, MRIs, etc.
Prescription Software (Surescripts): Medium use for electronic prescriptions.
Communication Tools (Teams, TigerText): Medium use for team communication.
Video Conferencing (Zoom, Doxy.me): Low use for telemedicine.
Medical Equipment: High use for diagnostics and exams.
Research Tools (PubMed, Cochrane): Low to medium use for staying updated. ","As a doctor, my duties are many and must be performed with diligence and organization. The first one concerns **patient documentation** in an EHR, where I spend a substantial amount of time with reviews of medical histories, record patient visits, and make updates on treatment plans. This will ensure relevant information is filed and can be assessed in the future. The other task will entail **patient exams and diagnostics**, whereby I will perform examinations on patients, asking about their symptoms, perform physical examinations, and order whichever diagnostic tests are necessary. This will allow me to make diagnoses and treat illnesses or conditions based on the results. Last but not least is **patient scheduling**, achieved by means of scheduling software for the same thing-appointment making, updating, and rescheduling. To further elaborate, I want to discuss patient scheduling, wherein I try to establish use of scheduling software to make appointments for patients, update their information as well as their appointments, and reschedule them based on circumstances. All of these tasks are imperative in facilitating the care of any patient. ",,Prolific
