Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Automation Capacity Rating,Physical Action Requirement,Involved Uncertainty,Domain Expertise Requirement,Interpersonal Communication Requirement,Human Agency Scale Rating
22660,Writers and Authors,"Review advertising trends, consumer surveys, and other data regarding marketing of goods and services to determine the best way to promote products.",BrownFox,2025-03-19,5.0,1.0,1.0,2.0,1.0,2.0
22657,Writers and Authors,"Write articles, bulletins, sales letters, speeches, and other related informative, marketing and promotional material.",BrownFox,2025-03-19,4.0,1.0,1.0,2.0,1.0,2.0
22658,Writers and Authors,Conduct research and interviews to determine which of a product's selling features should be promoted.,BrownFox,2025-03-19,4.0,1.0,3.0,3.0,1.0,2.0
2771,Executive Secretaries and Executive Administrative Assistants,"Prepare invoices, reports, memos, letters, financial statements, and other documents, using word processing, spreadsheet, database, or presentation software.",BlackDeer,2025-03-20,3.0,4.0,5.0,2.0,4.0,4.0
2776,Executive Secretaries and Executive Administrative Assistants,Prepare responses to correspondence containing routine inquiries.,BlackDeer,2025-03-20,3.0,4.0,4.0,3.0,4.0,3.0
2773,Executive Secretaries and Executive Administrative Assistants,"Open, sort, and distribute incoming correspondence, including faxes and email.",BlackDeer,2025-03-20,3.0,4.0,4.0,4.0,4.0,3.0
18575,Executive Secretaries and Executive Administrative Assistants,"Prepare agendas and make arrangements, such as coordinating catering for luncheons, for committee, board, and other meetings.",BlackDeer,2025-03-20,4.0,4.0,2.0,2.0,3.0,2.0
2780,Executive Secretaries and Executive Administrative Assistants,"Conduct research, compile data, and prepare papers for consideration and presentation by executives, committees, and boards of directors.",BlackDeer,2025-03-20,4.0,2.0,2.0,2.0,2.0,2.0
18574,Executive Secretaries and Executive Administrative Assistants,"Perform general office duties, such as ordering supplies, maintaining records management database systems, and performing basic bookkeeping work.",BlackDeer,2025-03-20,2.0,2.0,2.0,2.0,2.0,3.0
8655,Court Reporters and Simultaneous Captioners,"Record verbatim proceedings of courts, legislative assemblies, committee meetings, and other proceedings, using computerized recording equipment, electronic stenograph machines, or stenomasks.",BrownFox,2025-03-21,4.0,2.0,3.0,3.0,2.0,2.0
21183,Court Reporters and Simultaneous Captioners,Proofread transcripts for correct spelling of words.,BrownFox,2025-03-21,4.0,2.0,3.0,3.0,2.0,2.0
8654,Court Reporters and Simultaneous Captioners,"Provide transcripts of proceedings upon request of judges, lawyers, or the public.",BrownFox,2025-03-21,5.0,1.0,1.0,4.0,2.0,2.0
8656,Court Reporters and Simultaneous Captioners,Transcribe recorded proceedings in accordance with established formats.,BrownFox,2025-03-21,5.0,1.0,1.0,2.0,1.0,1.0
8659,Court Reporters and Simultaneous Captioners,File and store shorthand notes of court session.,BrownFox,2025-03-21,5.0,1.0,1.0,2.0,2.0,1.0
8658,Court Reporters and Simultaneous Captioners,File a legible transcript of records of a court case with the court clerk's office.,BrownFox,2025-03-21,5.0,1.0,1.0,2.0,1.0,1.0
8663,Court Reporters and Simultaneous Captioners,Record symbols on computer storage media and use computer aided transcription to translate and display them as text.,BrownFox,2025-03-21,5.0,1.0,1.0,1.0,1.0,1.0
21185,Court Reporters and Simultaneous Captioners,Type court orders for judges.,BrownFox,2025-03-21,5.0,1.0,1.0,2.0,1.0,1.0
3990,Audio and Video Technicians,"Compress, digitize, duplicate, and store audio and video data.",BrownFox,2025-03-21,5.0,1.0,1.0,2.0,1.0,2.0
3987,Audio and Video Technicians,"Switch sources of video input from one camera or studio to another, from film to live programming, or from network to local programming.",BrownFox,2025-03-21,5.0,1.0,1.0,2.0,1.0,1.0
3981,Audio and Video Technicians,Monitor incoming and outgoing pictures and sound feeds to ensure quality and notify directors of any possible problems.,BrownFox,2025-03-21,3.0,4.0,4.0,4.0,3.0,4.0
3982,Audio and Video Technicians,Mix and regulate sound inputs and feeds or coordinate audio feeds with television pictures.,BrownFox,2025-03-21,5.0,1.0,1.0,2.0,1.0,2.0
18651,Audio and Video Technicians,"Reserve audio-visual equipment and facilities, such as meeting rooms.",BrownFox,2025-03-21,5.0,1.0,1.0,1.0,1.0,1.0
3996,Audio and Video Technicians,"Determine formats, approaches, content, levels, and mediums to effectively meet objectives within budgetary constraints, using research, knowledge, and training.",BrownFox,2025-03-22,5.0,1.0,1.0,1.0,1.0,1.0
3992,Audio and Video Technicians,Edit videotapes by erasing and removing portions of programs and adding video or sound as required.,BrownFox,2025-03-22,5.0,1.0,1.0,1.0,1.0,1.0
4000,Audio and Video Technicians,Produce rough and finished graphics and graphic designs.,BrownFox,2025-03-22,3.0,3.0,3.0,3.0,3.0,4.0
4001,Audio and Video Technicians,"Locate and secure settings, properties, effects, and other production necessities.",BrownFox,2025-03-22,5.0,1.0,1.0,1.0,1.0,2.0
18652,Audio and Video Technicians,Analyze and maintain data logs for audio-visual activities.,BrownFox,2025-03-22,5.0,1.0,1.0,1.0,1.0,1.0
18653,Broadcast Technicians,Monitor and log transmitter readings.,BrownFox,2025-03-22,5.0,1.0,1.0,1.0,1.0,1.0
4007,Broadcast Technicians,Maintain programming logs as required by station management and the Federal Communications Commission.,BrownFox,2025-03-22,4.0,2.0,2.0,3.0,3.0,3.0
4009,Broadcast Technicians,"Monitor strength, clarity, and reliability of incoming and outgoing signals, and adjust equipment as necessary to maintain quality broadcasts.",BrownFox,2025-03-22,4.0,1.0,1.0,1.0,2.0,2.0
4012,Broadcast Technicians,Preview scheduled programs to ensure that signals are functioning and programs are ready for transmission.,BrownFox,2025-03-22,4.0,2.0,2.0,3.0,3.0,3.0
18654,Broadcast Technicians,"Play and record broadcast programs, using automation systems.",BrownFox,2025-03-22,5.0,1.0,1.0,1.0,1.0,1.0
18655,Broadcast Technicians,"Set up, operate, and maintain broadcast station computers and networks.",BrownFox,2025-03-22,3.0,3.0,3.0,3.0,3.0,3.0
4013,Broadcast Technicians,Select sources from which programming will be received or through which programming will be transmitted.,BrownFox,2025-03-22,2.0,4.0,4.0,4.0,3.0,4.0
4008,Broadcast Technicians,Control audio equipment to regulate volume and sound quality during radio and television broadcasts.,BrownFox,2025-03-22,5.0,1.0,1.0,1.0,1.0,1.0
4026,Broadcast Technicians,Design and modify equipment to employer specifications.,BrownFox,2025-03-23,2.0,4.0,4.0,4.0,4.0,4.0
4021,Broadcast Technicians,Schedule programming or read television programming logs to determine which programs are to be recorded or aired.,BrownFox,2025-03-23,5.0,1.0,1.0,1.0,1.0,2.0
4022,Broadcast Technicians,"Edit broadcast material electronically, using computers.",BrownFox,2025-03-23,3.0,3.0,3.0,4.0,4.0,3.0
18658,Broadcast Technicians,Develop employee work schedules.,BrownFox,2025-03-23,5.0,1.0,1.0,1.0,1.0,1.0
18657,Broadcast Technicians,Make commercial dubs.,BrownFox,2025-03-23,3.0,3.0,3.0,3.0,3.0,3.0
4027,Broadcast Technicians,"Prepare reports outlining past and future programs, including content.",BrownFox,2025-03-23,4.0,2.0,2.0,3.0,2.0,2.0
7729,Sound Engineering Technicians,"Separate instruments, vocals, and other sounds, and combine sounds during the mixing or postproduction stage.",BrownFox,2025-03-23,5.0,1.0,1.0,1.0,1.0,1.0
7730,Sound Engineering Technicians,Keep logs of recordings.,BrownFox,2025-03-23,5.0,1.0,1.0,1.0,1.0,1.0
7725,Sound Engineering Technicians,"Mix and edit voices, music, and taped sound effects for live performances and for prerecorded events, using sound mixing boards.",BrownFox,2025-03-23,4.0,2.0,2.0,3.0,2.0,2.0
1483,Mechanical Engineering Technologists and Technicians,Evaluate tool drawing designs by measuring drawing dimensions and comparing with original specifications for form and function using engineering skills.,WhiteHorse,2025-03-23,2.0,5.0,3.0,3.0,2.0,2.0
1474,Mechanical Engineering Technologists and Technicians,Prepare parts sketches and write work orders and purchase requests to be furnished by outside contractors.,WhiteHorse,2025-03-23,2.0,5.0,3.0,3.0,3.0,2.0
1488,Mechanical Engineering Technologists and Technicians,"Estimate cost factors including labor and material for purchased and fabricated parts and costs for assembly, testing, or installing.",WhiteHorse,2025-03-23,1.0,2.0,4.0,5.0,5.0,4.0
8961,Statisticians,"Design research projects that apply valid scientific techniques, and use information obtained from baselines or historical data to structure uncompromised and efficient analyses.",OrangeWolf,2025-03-24,1.0,1.0,3.0,3.0,4.0,4.0
16265,Biostatisticians,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",OrangeWolf,2025-03-24,1.0,2.0,1.0,3.0,3.0,4.0
16246,Biostatisticians,Calculate sample size requirements for clinical studies.,OrangeWolf,2025-03-24,3.0,1.0,1.0,1.0,1.0,2.0
7726,Sound Engineering Technicians,"Synchronize and equalize prerecorded dialogue, music, and sound effects with visual action of motion pictures or television productions, using control consoles.",BrownFox,2025-03-24,4.0,3.0,3.0,5.0,3.0,4.0
7728,Sound Engineering Technicians,"Reproduce and duplicate sound recordings from original recording media, using sound editing and duplication equipment.",BrownFox,2025-03-24,5.0,1.0,1.0,1.0,1.0,1.0
18661,Sound Engineering Technicians,Convert video and audio recordings into digital formats for editing or archiving.,BrownFox,2025-03-24,5.0,1.0,1.0,1.0,1.0,1.0
7731,Sound Engineering Technicians,"Create musical instrument digital interface programs for music projects, commercials, or film postproduction.",BrownFox,2025-03-24,5.0,1.0,1.0,1.0,1.0,1.0
20558,Photographers,"Transfer photographs to computers for editing, archiving, and electronic transmission.",BrownFox,2025-03-24,5.0,1.0,1.0,1.0,1.0,1.0
9352,Photographers,"Manipulate and enhance scanned or digital images to create desired effects, using computers and specialized software.",BrownFox,2025-03-24,5.0,1.0,1.0,1.0,1.0,1.0
9357,Photographers,"Enhance, retouch, and resize photographs and negatives, using airbrushing and other techniques.",BrownFox,2025-03-24,5.0,1.0,1.0,1.0,2.0,2.0
9351,Photographers,"Estimate or measure light levels, distances, and numbers of exposures needed, using measuring devices and formulas.",BrownFox,2025-03-24,5.0,1.0,1.0,1.0,1.0,1.0
9354,Photographers,"Perform general office duties, such as scheduling appointments, keeping books, and ordering supplies.",BrownFox,2025-03-24,5.0,1.0,1.0,1.0,1.0,1.0
1483,Mechanical Engineering Technologists and Technicians,Evaluate tool drawing designs by measuring drawing dimensions and comparing with original specifications for form and function using engineering skills.,BlackCat,2025-03-24,3.0,2.0,4.0,4.0,2.0,2.0
1474,Mechanical Engineering Technologists and Technicians,Prepare parts sketches and write work orders and purchase requests to be furnished by outside contractors.,BlackCat,2025-03-24,3.0,2.0,4.0,4.0,3.0,3.0
23198,"Securities, Commodities, and Financial Services Sales Agents",Report all positions or trading results.,BrownFox,2025-04-01,5.0,2.0,2.0,3.0,5.0,2.0
1488,Mechanical Engineering Technologists and Technicians,"Estimate cost factors including labor and material for purchased and fabricated parts and costs for assembly, testing, or installing.",BlackCat,2025-03-24,3.0,2.0,4.0,4.0,3.0,3.0
16606,Automotive Engineering Technicians,"Document test results, using cameras, spreadsheets, documents, or other tools.",BlackCat,2025-03-24,1.0,4.0,4.0,4.0,2.0,5.0
16602,Automotive Engineering Technicians,"Read and interpret blueprints, schematics, work specifications, drawings, or charts.",BlackCat,2025-03-24,4.0,2.0,4.0,4.0,2.0,2.0
16601,Automotive Engineering Technicians,"Monitor computer-controlled test equipment, according to written or verbal instructions.",BlackCat,2025-03-24,1.0,5.0,5.0,5.0,2.0,5.0
16608,Automotive Engineering Technicians,"Analyze test data for automotive systems, subsystems, or component parts.",BlackCat,2025-03-24,3.0,3.0,4.0,4.0,2.0,2.0
16598,Automotive Engineering Technicians,"Order new test equipment, supplies, or replacement parts.",BlackCat,2025-03-24,3.0,3.0,4.0,4.0,5.0,3.0
16610,Automotive Engineering Technicians,"Recommend product or component design improvements, based on test data or observations.",BlackCat,2025-03-24,3.0,2.0,4.0,4.0,3.0,3.0
16600,Automotive Engineering Technicians,"Recommend tests or testing conditions in accordance with designs, customer requirements, or industry standards to ensure test validity.",BlackCat,2025-03-24,3.0,3.0,4.0,5.0,2.0,3.0
19698,Automotive Engineering Technicians,"Participate in research or testing of computerized automotive applications, such as telemetrics, intelligent transportation systems, artificial intelligence, or automatic control.",BlackCat,2025-03-24,1.0,5.0,5.0,5.0,4.0,5.0
22104,Surveying and Mapping Technicians,"Check all layers of maps to ensure accuracy, identifying and marking errors and making corrections.",BlackCat,2025-03-24,2.0,4.0,2.0,4.0,2.0,4.0
22105,Surveying and Mapping Technicians,Design or develop information databases that include geographic or topographic data.,BlackCat,2025-03-24,4.0,4.0,2.0,3.0,2.0,2.0
22106,Surveying and Mapping Technicians,"Monitor mapping work or the updating of maps to ensure accuracy, inclusion of new or changed information, or compliance with rules and regulations.",BlackCat,2025-03-24,3.0,2.0,3.0,4.0,3.0,3.0
22107,Surveying and Mapping Technicians,"Produce or update overlay maps to show information boundaries, water locations, or topographic features on various base maps or at different scales.",BlackCat,2025-03-24,4.0,2.0,2.0,4.0,2.0,2.0
22110,Surveying and Mapping Technicians,Identify and compile database information to create requested maps.,BlackCat,2025-03-24,3.0,3.0,2.0,4.0,2.0,3.0
22111,Surveying and Mapping Technicians,"Operate and manage land-information computer systems, performing tasks such as storing data, making inquiries, and producing plots and reports.",BlackCat,2025-03-24,4.0,2.0,3.0,3.0,3.0,2.0
22112,Surveying and Mapping Technicians,Compare survey computations with applicable standards to determine adequacy of data.,BlackCat,2025-03-24,3.0,2.0,3.0,4.0,2.0,3.0
22113,Surveying and Mapping Technicians,"Analyze aerial photographs to detect and interpret significant military, industrial, resource, or topographical data.",BlackCat,2025-03-24,4.0,2.0,2.0,4.0,2.0,2.0
22114,Surveying and Mapping Technicians,"Research and combine existing property information to describe property boundaries in relation to adjacent properties, taking into account parcel splits, combinations, or land boundary adjustments.",BlackCat,2025-03-24,3.0,2.0,4.0,4.0,2.0,3.0
22115,Surveying and Mapping Technicians,"Calculate latitudes, longitudes, angles, areas, or other information for mapmaking, using survey field notes or reference tables.",BlackCat,2025-03-24,3.0,3.0,4.0,4.0,1.0,3.0
22116,Surveying and Mapping Technicians,"Compare topographical features or contour lines with images from aerial photographs, old maps, or other reference materials to verify the accuracy of their identification.",BlackCat,2025-03-24,2.0,3.0,4.0,4.0,2.0,4.0
22117,Surveying and Mapping Technicians,Trace contours or topographic details to generate maps that denote specific land or property locations or geographic attributes.,BlackCat,2025-03-24,3.0,2.0,3.0,4.0,2.0,3.0
22120,Surveying and Mapping Technicians,"Answer questions and provide information to the public or to staff members regarding assessment maps, surveys, boundaries, easements, property ownership, roads, zoning, or similar matters.",BlackCat,2025-03-24,3.0,3.0,3.0,3.0,4.0,4.0
16786,Bioinformatics Scientists,Develop new software applications or customize existing applications to meet specific scientific project needs.,BlackCat,2025-03-24,4.0,2.0,2.0,5.0,2.0,2.0
16790,Bioinformatics Scientists,Create novel computational approaches and analytical tools as required by research goals.,BlackCat,2025-03-24,4.0,2.0,3.0,5.0,2.0,2.0
16795,Bioinformatics Scientists,"Analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes.",BlackCat,2025-03-24,4.0,3.0,3.0,5.0,2.0,2.0
16791,Bioinformatics Scientists,"Compile data for use in activities, such as gene expression profiling, genome annotation, or structural bioinformatics.",BlackCat,2025-03-24,4.0,2.0,3.0,5.0,2.0,2.0
16793,Bioinformatics Scientists,"Manipulate publicly accessible, commercial, or proprietary genomic, proteomic, or post-genomic databases.",BlackCat,2025-03-24,4.0,2.0,3.0,5.0,2.0,2.0
16788,Bioinformatics Scientists,Create or modify web-based bioinformatics tools.,BlackCat,2025-03-24,4.0,2.0,3.0,5.0,2.0,2.0
16783,Bioinformatics Scientists,Instruct others in the selection and use of bioinformatics tools.,BlackCat,2025-03-24,3.0,3.0,4.0,5.0,4.0,4.0
16807,Molecular and Cellular Biologists,Maintain accurate laboratory records and data.,BlackCat,2025-03-24,3.0,3.0,4.0,5.0,2.0,3.0
23905,Molecular and Cellular Biologists,"Prepare or review reports, manuscripts, or meeting presentations.",BlackCat,2025-03-24,3.0,3.0,4.0,5.0,2.0,3.0
16808,Molecular and Cellular Biologists,Instruct undergraduate and graduate students within the areas of cellular or molecular biology.,BlackCat,2025-03-24,2.0,4.0,3.0,5.0,5.0,5.0
16814,Molecular and Cellular Biologists,Compile and analyze molecular or cellular experimental data and adjust experimental designs as necessary.,BlackCat,2025-03-24,3.0,2.0,3.0,5.0,2.0,3.0
16809,Molecular and Cellular Biologists,Evaluate new technologies to enhance or complement current research.,BlackCat,2025-03-24,4.0,2.0,2.0,5.0,2.0,2.0
9068,Atmospheric and Space Scientists,"Broadcast weather conditions, forecasts, or severe weather warnings to the public via television, radio, or the Internet or provide this information to the news media.",BlackCat,2025-03-24,3.0,2.0,3.0,4.0,2.0,3.0
9069,Atmospheric and Space Scientists,"Gather data from sources such as surface or upper air stations, satellites, weather bureaus, or radar for use in meteorological reports or forecasts.",BlackCat,2025-03-24,3.0,2.0,4.0,4.0,2.0,3.0
20208,Atmospheric and Space Scientists,Develop or use mathematical or computer models for weather forecasting.,BlackCat,2025-03-24,3.0,2.0,3.0,5.0,2.0,3.0
20206,Atmospheric and Space Scientists,"Prepare weather reports or maps for analysis, distribution, or use in weather broadcasts, using computer graphics.",BlackCat,2025-03-24,4.0,2.0,3.0,4.0,2.0,2.0
20209,Atmospheric and Space Scientists,"Interpret data, reports, maps, photographs, or charts to predict long- or short-range weather conditions, using computer models and knowledge of climate theory, physics, and mathematics.",BlackCat,2025-03-24,2.0,2.0,4.0,5.0,3.0,4.0
19759,Atmospheric and Space Scientists,"Formulate predictions by interpreting environmental data, such as meteorological, atmospheric, oceanic, paleoclimate, climate, or related information.",BlackCat,2025-03-24,2.0,3.0,4.0,5.0,2.0,4.0
9070,Atmospheric and Space Scientists,"Prepare forecasts or briefings to meet the needs of industry, business, government, or other groups.",BlackCat,2025-03-24,2.0,2.0,4.0,5.0,3.0,4.0
9079,Atmospheric and Space Scientists,Conduct numerical simulations of climate conditions to understand and predict global or regional weather patterns.,BlackCat,2025-03-24,4.0,2.0,4.0,5.0,2.0,2.0
20210,Atmospheric and Space Scientists,"Conduct meteorological research into the processes or determinants of atmospheric phenomena, weather, or climate.",BlackCat,2025-03-24,2.0,3.0,4.0,5.0,3.0,4.0
16849,Climate Change Policy Analysts,"Provide analytical support for policy briefs related to renewable energy, energy efficiency, or climate change.",BlackCat,2025-03-24,1.0,4.0,4.0,4.0,4.0,5.0
16854,Climate Change Policy Analysts,"Analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders.",BlackCat,2025-03-24,1.0,4.0,4.0,4.0,5.0,5.0
16851,Climate Change Policy Analysts,"Make legislative recommendations related to climate change or environmental management, based on climate change policies, principles, programs, practices, and processes.",BlackCat,2025-03-24,2.0,3.0,5.0,5.0,3.0,4.0
806,Word Processors and Typists,"Work with technical material, preparing statistical reports, planning and typing statistical tables, and combining and rearranging material from different sources.",BrownKangaroo,2025-04-06,4.0,1.0,2.0,3.0,1.0,2.0
2817,Desktop Publishers,"View monitors for visual representation of work in progress and for instructions and feedback throughout process, making modifications as necessary.",BrownKangaroo,2025-04-06,2.0,3.0,3.0,3.0,4.0,4.0
16265,Biostatisticians,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",PurpleBear,2025-03-24,4.0,1.0,4.0,4.0,2.0,3.0
16246,Biostatisticians,Calculate sample size requirements for clinical studies.,PurpleBear,2025-03-24,4.0,1.0,3.0,4.0,1.0,1.0
16252,Biostatisticians,Prepare tables and graphs to present clinical data or results.,PurpleBear,2025-03-24,4.0,1.0,3.0,4.0,2.0,4.0
16249,Biostatisticians,Write program code to analyze data with statistical analysis software.,PurpleBear,2025-03-24,4.0,1.0,3.0,4.0,2.0,4.0
16262,Biostatisticians,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,PurpleBear,2025-03-24,2.0,1.0,4.0,4.0,3.0,5.0
16247,Biostatisticians,"Determine project plans, timelines, or technical objectives for statistical aspects of biological research studies.",PurpleBear,2025-03-24,2.0,1.0,4.0,5.0,3.0,5.0
16248,Biostatisticians,Assign work to biostatistical assistants or programmers.,PurpleBear,2025-03-24,2.0,2.0,3.0,4.0,5.0,5.0
16150,Business Intelligence Analysts,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",PurpleBear,2025-03-24,3.0,1.0,3.0,3.0,4.0,4.0
16135,Business Intelligence Analysts,"Maintain library of model documents, templates, or other reusable knowledge assets.",PurpleBear,2025-03-24,2.0,1.0,2.0,3.0,2.0,3.0
16140,Business Intelligence Analysts,Manage timely flow of business intelligence information to users.,PurpleBear,2025-03-24,2.0,1.0,3.0,3.0,4.0,4.0
16146,Business Intelligence Analysts,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",PurpleBear,2025-03-24,2.0,1.0,2.0,3.0,3.0,4.0
16136,Business Intelligence Analysts,"Identify or monitor current and potential customers, using business intelligence tools.",PurpleBear,2025-03-24,3.0,1.0,3.0,3.0,2.0,3.0
16143,Business Intelligence Analysts,"Disseminate information regarding tools, reports, or metadata enhancements.",PurpleBear,2025-03-24,3.0,1.0,3.0,3.0,4.0,3.0
16284,Clinical Data Managers,"Process clinical data, including receipt, entry, verification, or filing of information.",PurpleBear,2025-03-24,3.0,2.0,4.0,3.0,2.0,2.0
16280,Clinical Data Managers,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",PurpleBear,2025-03-24,3.0,1.0,4.0,4.0,2.0,4.0
16279,Clinical Data Managers,Monitor work productivity or quality to ensure compliance with standard operating procedures.,PurpleBear,2025-03-24,2.0,2.0,3.0,2.0,4.0,2.0
16277,Clinical Data Managers,"Prepare data analysis listings and activity, performance, or progress reports.",PurpleBear,2025-03-24,3.0,1.0,4.0,4.0,2.0,4.0
16283,Clinical Data Managers,Analyze clinical data using appropriate statistical tools.,PurpleBear,2025-03-24,3.0,1.0,4.0,4.0,2.0,4.0
16270,Clinical Data Managers,Develop technical specifications for data management programming and communicate needs to information technology staff.,PurpleBear,2025-03-24,2.0,1.0,3.0,3.0,4.0,4.0
16274,Clinical Data Managers,"Track the flow of work forms, including in-house data flow or electronic forms transfer.",PurpleBear,2025-03-24,2.0,2.0,3.0,3.0,2.0,2.0
17709,Bioinformatics Technicians,"Analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques.",PurpleBear,2025-03-24,4.0,1.0,4.0,4.0,2.0,4.0
17715,Bioinformatics Technicians,"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve.",PurpleBear,2025-03-24,3.0,1.0,3.0,4.0,3.0,4.0
17716,Bioinformatics Technicians,Maintain awareness of new and emerging computational methods and technologies.,PurpleBear,2025-03-24,3.0,2.0,2.0,4.0,2.0,4.0
17721,Bioinformatics Technicians,Conduct quality analyses of data inputs and resulting analyses or predictions.,PurpleBear,2025-03-24,2.0,1.0,4.0,4.0,3.0,3.0
17707,Bioinformatics Technicians,"Enter or retrieve information from structural databases, protein sequence motif databases, mutation databases, genomic databases or gene expression databases.",PurpleBear,2025-03-24,3.0,1.0,3.0,4.0,1.0,1.0
17712,Bioinformatics Technicians,Design or implement web-based tools for querying large-scale biological databases.,PurpleBear,2025-03-24,4.0,1.0,3.0,4.0,2.0,3.0
17708,Bioinformatics Technicians,"Monitor database performance and perform any necessary maintenance, upgrades, or repairs.",PurpleBear,2025-03-24,3.0,1.0,2.0,3.0,2.0,1.0
17724,Bioinformatics Technicians,"Perform routine system administrative functions, such as troubleshooting, back-ups, or upgrades.",PurpleBear,2025-03-24,4.0,1.0,3.0,3.0,2.0,2.0
17718,Bioinformatics Technicians,Test new or updated software or tools and provide feedback to developers.,PurpleBear,2025-03-24,2.0,1.0,3.0,3.0,4.0,5.0
20483,"Architects, Except Landscape and Naval",Develop final construction plans that include aesthetic representations of the structure or details for its construction.,PurpleBear,2025-03-24,2.0,1.0,5.0,5.0,4.0,5.0
20479,"Architects, Except Landscape and Naval","Prepare scale drawings or architectural designs, using computer-aided design or other tools.",PurpleBear,2025-03-24,4.0,1.0,3.0,4.0,2.0,3.0
130,"Architects, Except Landscape and Naval","Prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time.",PurpleBear,2025-03-24,2.0,1.0,4.0,4.0,3.0,5.0
136,"Architects, Except Landscape and Naval",Integrate engineering elements into unified architectural designs.,PurpleBear,2025-03-24,2.0,1.0,4.0,4.0,2.0,2.0
